id	検証名	条件	期間	n	的中	主要ROI	頑健性チェック	判定	出典
1	3戦略in-sample基準値	strategy_spec完全準拠・単勝フラット	2014-2025	芝1650/ダ880/新馬254	79/61/50	芝156.2%/ダ153.9%/新馬175.4%	芝プラス10/12年・ダ8/12・新馬4/7	基準表(参考値)	v2_three_strats_roi.py / log268
2	母父版v2(置換)	芝v2母集団で父GOOD→母父GOODに置換	2014-2025	831	21	83.5%	プラス4/12年	不採用	test_bms_v2_shiba.py / log263
3	母父補完(父GOOD外×母父GOOD)	同上	2014-2025	661	12	69.9%	プラス3/12年	不採用	test_bms_v2_shiba.py / log263
4	旧・種牡馬スコア複勝戦略の再実行	種牡馬別過去複勝率top3・4番人気以下	2021-2026	35069	-	73.2%	4/22リーク修正後出力と完全一致	死亡確認(132.5%はリークの幻)	test_sire_bms_combo.py / log264
5	母父単体ROIスキャン	母父×馬場・学習n>=200&ROI>=120%	学2014-21/検2022-26	候補24	-	検証窓生存0/24	キングヘイロー125.8→78.5%等全崩壊	不採用	scan_bms_roi.py / log265
6	父×母父の個別ニックス	学習n>=100&ROI>=120%	学2014-21/検2022-26	候補60	-	生存1/60(ノヴェリスト×キンカメ検144.8% n=56)	偶然の期待値圏内	不採用	scan_sire_bms_pair_roi.py / log266
7	父系統×母父系統ペア	学習n>=300&ROI>=110%	学2014-21/検2022-26	候補3	-	3/3が検証110%超	最高配当除外で73.5/100.9/87.6%に崩壊	不採用(蜃気楼)	check_lineage_pair_robust.py / log266
8	1人気1倍台レース除外	fav<2.0のレースを3戦略から除外	2014-2025	芝268/ダ157/新馬77除外	-	芝156.2→162.7%/ダ153.9→149.1%/新馬175.4→149.0%	戦略間で符号逆転=ノイズ	不採用(芝のみ改善はp=0.24)	fav_odds_roi.py / log271
9	v2複勝版	同じ買い目を複勝で	2014-2025	芝1650	244	100.4%	全馬80.7→帯92.2→v2で100.4%(損益分岐)	単勝維持	log270
10	2歳未勝利オッズ帯マップ	芝ダ×7帯	学2014-21	芝ダ全帯	-	100%超の帯なし(最良ダ50-80=99%)	芝は正方向FLB	エッジの種なし	scan_2yo_maiden.py / log272
11	2歳未勝利ダ50-80×3走目以上	Stage2最有力	学2014-21/検2022-26	学873/検351	-/5	学128.3%→検89.4%	最高配当除外69.1%/上位2本50.1%	不採用(蜃気楼)	scan_2yo_maiden.py / log272
12	2歳未勝利×80倍未満×26軸	性別/季節/距離/前走/血統等	学2014-21/検2022-26	芝13542/ダ11015	-	学110%超は父ディープ×ダのみ(115.7%)	検証61.2%で崩壊	不採用	scan_2yo_u80.py / log273
13	芝2歳未勝利×夏×6月軸	夏絞り26軸で唯一両窓+	2014-2026	411	54	全期間119.3%	年別7/12年赤字・最高配当除外で学86.4/検106.8	不採用(蜃気楼)	log274
14	芝2歳未勝利×夏×サンデー他×1800m+	3階層ドリル	学2014-21/検2022-26	学330/検98	-/16	学101.1%→検151.5%	最高配当除外70.8%/2本除外52.9%	不採用(蜃気楼)	log274
15	同×サンデー系他×3走目以上	ユーザー指定組合せ	学2014-21/検2022-26	学340/検63	38/7	学97.1%→検182.7%	除外56.9%/41.6%・2024の691%(12点)が支え	不採用(学習窓で既に赤字)	log275付近
16	2026フォワード実測	公式strat_eval --season窓内	2026/6/1-7/5	芝52/ダ9/新馬22	1/0/6	芝36%/ダ0%/新馬116%	芝ダP(≤1|61,6%)≈9%=想定内下振れ	継続(n=200半減判定待ち)	strat_eval / log276
17	執行ギャップ(帯落ち帯入り)	通知時vs確定オッズ	2026季	帯落ち23/帯入り20	0/0	実弾29.2% vs 公式30.7%	帯落ち全敗=直前に金が離れた馬	監視項目化・v3候補(通知時65倍上限)	log278
18	ワイドボックス現行帯	3戦略買い目の同レースペア	2014-2025	1713ペア	30	72.6%	プラス3/12年・上位3本除外51.3%	不採用	backtest_wide_box2.py / log282
19	新馬ワイド	エピ産駒ペア	2019-2025	78ペア	10	64.4%	的中率12.8%は本物だが平均配当502円<分岐780円	不採用	log282
20	アンカー型ワイド(1-80倍)	血統GOOD×3走目↑・帯拡張ペア	2024-25実配当	芝329/ダ98(カバー分)	17/7	芝75.1%/ダ62.0%	平均配当1454円<分岐1693円	不採用	log282
21	母父タイプ名(大系統)フルカバレッジ	CSV母父タイプ名・カバー97.3%	学2014-21/検2022-25	3565	-	B/D系すべて赤字	ナスルーラ検証331%はn=32ノイズ	不採用	bms_type_full_coverage.py / log280
22	母父8小系統(拡張マップ)	BMS_EXTRA約50頭追加・カバー75.7%	学2014-21/検2022-25	B:671+445/D:597+327	-	B=74.5/76.4% D=54.6/68.8%	母父ディープ系のみ両窓+(108/170、n=59/92)	不採用・母父ディープは観察リスト	log280
23	戦略別資金配分の最適化	9配分案×日次複利(CAP2万)×配当ヘアカット4種	2014-25/2020-25	3378	213	現行(0.5/0.5/1.0)が全シナリオで効率的フロンティア上	配当×0.8で新馬1.5%超・ケリー比例は逆転/×0.7でDD70-94%・ケリー比例ほぼ破産/非対称(芝ダ0.7新馬0.9)でも現行最良圏	現行維持(追加最適化しない)	alloc_sim.py / log285
24	芝条件のクラス転用	芝3歳牝夏15-80×3走目↑×父GOODを1勝/2勝/3勝/OPへ	2014-25	614	18	未勝利以外合算86.6%(1勝82.3/2勝99.5/3勝OP 0)	1勝は窓間符号反転(学46.4→検155.9)・最高配当除外71.1%・プラス年2/12=ノイズ	棄却(未勝利のみ維持)	shiba_class_scan.py / log286
25	ダ条件の距離拡張	ダ3歳牝夏10-80×3走目↑×米国系を1600-1700/1800+へ	2014-25	998	41	1400m超合算96.1%(1600-1700:75.6/1800+:153.0)	1800+は検証窓46.7%に崩壊・プラス年3/12=学習窓だけの蜃気楼。帯内3ビン(≤1400)は全て両窓+除外後123-135%で一様	棄却(≤1400維持)	dirt_dist_scan.py / log286
26	ダ1400m超に合う父系統	ダ3歳牝夏10-80×3走目↑×距離>1400×全系統	2014-25	2007	-	欧州系1800+のみ両窓生存(学190/検222)	上位3本除外83.1%・牡セ追試で学73/検80と不発=別母集団で再現せず	棄却(監視のみ)	dirt_long_blood_scan.py / log287
27	芝1勝クラス以上に合う父系統	芝3歳牝夏15-80×3走目↑×1勝以上×全系統	2014-25	1147	-	両窓生存ゼロ(ディープ検205.9%は学21.3%と符号反転)	全系統で窓間不安定=ノイズ	棄却	shiba_class_blood_scan.py / log287
28	性別条件の必要性(芝ダ)	現行条件から性別だけ変更(牝/牡セ/全)	2014-25	3378	-	牡セ: 芝 学101/検69・ダ 学86/検68で両窓死亡	牝は芝ダ両方・両窓で頑健(検143/170%)。全性別に広げると希釈(検112/122%)	牝限定=エッジの本体。拡張不可	インライン(log290)
29	夏窓外への拡張(芝ダ)	現行条件を夏(6/16-8/31)以外の月へ	2014-25	5394	173	芝夏以外 学59.4/検90.8・ダ夏以外 学86.6/検67.8=全滅	ダ6月前半139.8%と1月131.5%が候補に見えたが上位3本除外で85.3/88.7%に崩壊・6月前半は検証窓複勝70.3%	棄却(夏窓維持。ダ6月前半のみ監視)	インライン(log291)
30	マイナー種牡馬ROI低い説	v2母集団を父の産駒規模で層別(全期間累計vs賭け時点累計)	2014-25	2556	-	全期間累計だと芝マイナー両窓死(74/60%)に見えるが、賭け時点累計に直すと消滅(141/89%等、全バケツ不安定)	ルックアヘッド起因の疑似シグナル。「小さいまま終わった父」は事後にしか分からない	棄却(フィルタ化しない)	インライン(log295)
31	父の中堅規模帯(逆U字)	v2×父の当日累積出走数500-6000(ルックアヘッドなし)	2014-25	1551	101	芝200.1%(学195/検211)・ダ166.1%(学149/検209)	上位3本除外 芝175/ダ136%・プラス年 芝11/12 ダ9/12・境界5パターン全て両窓100%超・芝ダ交差確認済み	v3候補(今季は凍結・ペーパー追跡+季末事前登録へ)	インライン(log296)
32	逆U字の切断バイアス検査	#31を父の初出年で分離(2010年以前から供用=切断父)	2014-25	1551	-	芝中堅(非切断)は学194.4/検211.0で生存。ダ中堅(非切断)は学85.5/検212.2に符号反転=学習窓の強さは切断ベテラン父(米国系古豪)の混入が源	芝ダ交差確認が崩壊→逆U字は芝のみ・単一母集団の候補に格下げ	#31を修正: v3候補(弱)へ降格	インライン(log297)
33	中堅帯の切断補正後再検証	父の当日累積(2000-09前史込み)2000-6000帯	2014-25	689	56	芝270.1%(学299/検212)・ダ201.3%(学193/検225)	上位3本除外 芝216/ダ153%・プラス年 芝9/12 ダ8/12・境界5パターン全て両窓150%超・芝ダ交差確認が清浄データで復活	v3有力候補に再昇格(境界2000-6000で季末事前登録へ)	インライン(log299)
34	父の質指標(夏勝率/夏適性比/前年EI)	v2母集団を時点付き質指標で層別(EIはリーディング全年アーカイブから)	2014-25	3378	-	夏勝率=判別力なし・適性比=窓間ノイズ・EI=全バケツ両窓プラスで分離弱(芝0.8-1.2が186/166%で最良程度)	質指標はどれも両窓一貫の分離を作れず。規模(中堅帯)だけが効く対比が鮮明	棄却(質ファクター不採用)	インライン(log301)
35	秋(9-12月)新馬の種牡馬スキャン	n50以上・両窓サンプルあり56頭を単勝ROI順に精査	2014-25	-	-	両窓生存6頭(カレンブラックヒル252%等)	全6頭が除外検査で死亡: 上位3本除外でカレン41/ダノレジ50/タルマエ48/ブリランテ49/イスラ80/エスポ71%。プラス年も全て過半未満。56頭スキャンで6頭偶然通過は期待値どおり	棄却(秋新馬に買える種牡馬なし)	インライン(log304)
36	2歳未勝利の種牡馬/小系統スキャン	全期間と80倍以下の2段構え・種牡馬58頭+小系統9分類	2014-25	28819	-	小系統は全て両窓100%未満(最高でもディープ系学98.5/検65.7)。種牡馬の両窓生存7頭(全期間4+80倍以下3)は全て最高1本除外で57-100%に死亡	2歳戦は血統織り込み済み+見限られ馬不在の構造確認(種牡馬個体レベルでも)	棄却(2歳未勝利に買えるものなし・最終確認)	インライン(log305)
37	中堅帯の夏以外追試	同条件(3歳牝未勝利×帯内×血統GOOD×3走目↑)の非夏期間×父当日累積	2014-25	5539	-	芝中堅帯 学51.0/検108.7・ダ中堅帯 学80.7/検58.0=両方死亡。中堅帯69-75% vs 帯外72-80%で相対優位も消滅	中堅帯効果は夏限定。「認知ラグ普遍説」は不支持→夏との交互作用か夏スライスの過剰適合かは今季フォワードで判定	v3候補をさらに降格(季末検証仮説の一つへ)	インライン(log307)
38	Benterブレンド確率の較正チェック(信頼度図)	単勝=市場確率(α≈0検証済のためブレンド≒正規化1/オッズ)・複勝=place_share×支払着数の市場成分。両窓ビン分割で実測率/Brier/較正slope	2014-2021/2022-2026	単勝39万+20万・複勝39万+20万	-	単勝は両窓ともほぼ完全較正(slope 1.011/1.032, β_MLE 1.012/1.034)。歪みはp<0.01大穴帯(実測/予測0.75, ROI53-5838	Benterブレンド確率の較正チェック(信頼度図)	単勝=市場確率(α≈0検証済のためブレンド≒正規化1/オッズ)・複勝=place_share×支払着数の市場成分。両窓ビン分割で実測率/Brier/較正slope	2014-2021/2022-2026	単勝39万+20万・複勝39万+20万	-	単勝は両窓ともほぼ完全較正(slope 1.011/1.032, β_MLE 1.012/1.034)。歪みはp<0.01大穴帯(実測/予測0.75, ROI53-58%)と鉄板帯p>0.6(比1.05-1.09, ROI83-87%)のFLバイアスのみ。複勝の線形share×3写像は大きく非較正(slope0.68, 低確率帯+33〜44%/高確率帯-20%)でHenery割引(λ2≈0.8,λ3≈0.7)と整合	両窓で較正曲線がほぼ一致=構造は時間安定。ROIは全ビン<100%で較正だけでは食えない(控除率の壁)・単勝市場は較正面でも効率的と再確認。複勝はshare→実複勝率の較正写像をv6のEV計算改良に転用可	追加エッジなし(較正は健全性確認として合格)	benter_calibration.py / log309
39	Benter較正チェックの夏限定追試	kensho#38と同一手法をmonth 6-8に限定(--summerフラグ追加)。単勝=市場確率・複勝=place_share×支払着数	2014-2021/2022-2026の6-8月	単勝9.8万+4.7万	-	単勝slope 1.002/1.028(全期間1.011/1.032とほぼ同一)・β_MLE 1.002/1.029。FLバイアスも同形(大穴帯 実/予0.74/0.73)。複勝slope 0.669/0.682も全期間(0.678/0.686)と同一	全ビンROI<100%は夏も不変(最高91.1%はn=88の鉄板帯でノイズ圏)。両窓一致	夏も市場全体の較正は崩れない=夏3戦略のエッジは市場全体の夏ボケではなく狭いスライス固有の歪み由来と確認	benter_calibration.py --summer / log310
40	Benter較正チェックの全月別スキャン	kensho#38手法を月1-12別に実行(--by-monthモード追加)。窓別に単勝slope/β/大穴帯(p<0.01)実予比/複勝slopeを算出	2014-2021/2022-2026×月別	月あたり単勝1.3-3.5万	-	単勝slopeは全月0.986-1.082でほぼ1(較正維持)。両窓一致の癖は11月のみ: slope 1.047/1.072が全月最高圏+大穴比0.480/0.572が最低圏(大穴ROI 36.0/36.1%と両窓ほぼ同値)。複勝slopeは全月0.64-0.71で季節不変	大穴比は月別だと勝利数が少なくノイズ大(9月は学0.49/検1.10と真逆)。11月のみ両窓で方向・水準が一致	全月で市場較正は健全。11月は大穴が最も過大評価される月(避ける価値はあるが買える歪みではない=どの月・どのビンもROI>100なし)	benter_calibration.py --by-month / log311
41	Benter較正の年別ドリフト確認(「最近ずれてる?」検証)	kensho#38手法を年2014-2026別に実行(--by-yearモード+slope標準誤差追加)	2014-2026年別	年4.7-5.0万(2026のみ1.4万)	-	窓差(学1.011/検1.032)は実在するが(差2.6σ)、単調悪化ではなく2021-2024の山: 2021 1.033/2022 1.054/2024 1.045(各SE0.017で有意)に対し2023 1.024/2025 1.018/2026 0.985と回帰。2020は0.993(無観客年に大穴過大評価が最小=大穴比0.904)	年別SE0.017で2022/2024のみ3σ級。大穴ROIは44-76%で全年ROI>100なし。複勝slopeは0.66-0.71で経年不変	「最近ずれてきている」は半分正しい(2022/2024に有意な較正緩み)が、恒常トレンドではなく2025-26は正常圏に回帰済み。実用エッジなし	benter_calibration.py --by-year / log312
42	較正ビン別のシャープレシオ追加(ユーザー提案)	kensho#38の各確率ビンに σ/点・SR/点(μ/σ)・年次SR(年ROI平均/年ROI標準偏差)・プラス年数を追加	2014-2021/2022-2026	単勝39万+20万・複勝39万+20万	-	全24ビン×両窓×両券種でプラス年ゼロ(0/8, 0/5)・年SR全て負(-1.7〜-29)。1点SRは大穴帯が最小悪(-0.035〜-0.05)で鉄板帯が最悪(-0.25〜-0.30)だがσの大きさによる見かけ。σ/点は鉄板45-57 vs 大穴935-950で約20倍差	年次SRの負が深い=負けは分散由来でなく毎年着実(市場は「ジリ貧製造機」として較正)	リスク調整後もどの帯にもエッジなし。ただしσ格差より「同じ資金リスクなら低確率帯の20倍張れる鉄板帯はエッジ変換効率が高い」= Benter型(低分散帯の小さな補正で稼ぐ)の合理性を定量確認	benter_calibration.py / log313
43	ピンパー馬(勝つか大敗か)の単勝妙味検証	過去戦績のみで 勝ち切り率=1着/3着内(top3>=3) と 極端度=(1着+二桁着)/出走(starts>=6) を構築。スライスROI+ロジスティック織り込み検定(win~logit(p_mkt)+指標)	2014-2021/2022-2026	勝ち切り率24万・極端度32万	-	勝ち切り率は両窓で有意に未織り込み: γ=+0.236(z=5.1)/+0.308(z=4.9)。4-9.9倍帯内(平均オッズ6.5で構成統制)でもROI単調増加 71.8→88.1% / 70.2→90.0%。極端度はz=1.7/3.9で不安定、最極端帯はROI52-61%で死亡	最ピンパー帯(勝ち切り率0.8超)単体は 学90.1%(除3 77.7,プラス3/8)/検76.2%(除3 55.1,プラス1/5)で戦略としては死亡。効果量は+2-3pt級(γ0.24-0.31)で控除率の壁の内側	動画の主張は方向のみ正しい(勝ち切り率は市場が織り込み切れていない稀な単勝シグナル)が単体では食えない。Benter型p_fundの第6シグナル候補(小系統/性別/種牡馬/内外/馬齢に追加)として保管	pinpar_scan.py / log315
44	戦績集計値シグナル5本の一斉スキャン(勝ち切り率の姉妹指標)	過去戦績のみから beat_mkt(市場超過実績)/agari_rate(末脚上位率)/fin_std(ムラ度)/recent_form(直近3走-キャリア平均)/mid_rate(4-9着率) を構築。織り込み検定γ/SD+五分位×4-9.9倍帯ROI+合同検定	2014-2021/2022-2026	指標あたり21万+10万	-	生存2/6: kachikiri(z+5.2/+5.0)とrecent_form(z+4.9/+5.0)。recent_formは正=直近凡走馬が市場評価超え(過剰見限りの逆張り)、Q1絶好調73-77% vs Q3-5凡走側81-86%。死亡4: beat_mkt符号反転(+2.3/-1.7)・agari_rate≈0(脚質織り込みと整合)・fin_std(+1.0/+3.2)・mid_rate(+2.9/+0.6)は片窓のみ	合同検定で両者独立(相関+0.068、同時投入でも kachi z=4.5/4.4, recent z=3.3/4.5)。合わせ技(両方上位40%×4-9.9倍)は81.2/89.4%・除3で不変だがプラス年0/13	単体・合わせ技とも壁の内側で戦略化は不可。第6=勝ち切り率・第7=過剰見限り逆張りとしてp_fund再構築時のシグナルセットに登録	horse_aggregates_scan.py / log316
45	頭数補正の追試(ユーザー指摘)	kensho#44のうち頭数未補正だった2指標を修正: agari_rel=mean((上がり順位-1)/(頭数-1))・mid_rel_rate=相対着順0.25-0.65率。fin_std/recent_form/beat_mktは元から相対着順(着順/頭数)ベースで補正済みを確認	2014-2021/2022-2026	指標あたり21万+10万	-	補正後も結論不変: agari_rel z=+1.43/+1.70(補正前≈0から僅かに動くが有意未達=末脚は織り込み済みのまま)・mid_rel_rate z=+2.30/-0.14(片窓のみで死亡のまま)	生存2本(勝ち切り率/recent_form)は影響なし(元から補正済み or カウント比)	指摘は方法論的に正当(8頭立て上がり3位内37.5%と18頭16.7%は別物)だが、生死判定は全て不変	horse_aggregates_scan.py / log317
46	勝ち切り率の分母バリエーション検定	kachikiri_k=過去1着数/過去k着以内数 (k=2..7、参照で勝率=1着/全出走)。分母>=3適格、織り込み検定γ/SDのz値で比較	2014-2021/2022-2026	k=3で16万+8万、kにより12万〜28万	-	zは k=2: 3.12/3.88 → **k=3: 5.20/4.99(ピーク)** → k=4: 3.90/4.03 → k=5: 4.17/3.89 → k=6: 3.56/3.28 → k=7: 3.26/3.29 → 勝率: 2.00/2.88 と内点最大。γ/SDもk=3最大(+0.047/+0.062)。上位五分位ROI(4-9.9倍)もk=3が86.3/89.7で最良圏	両窓でピーク位置が一致(k=3)。端(k=2)も遠端(勝率)も減衰=分母サイズの人工物ではない	「複勝圏に来たうち勝ち切った率」という元定義が最適と確認。馬券圏3着が市場参加者の認知境界(複勝率・連対率は見るが比率は計算しない)であることと整合	kachikiri_denominator_scan.py / log318
47	生存2シグナルの合成検定(等重み/交互作用/EVルール)	勝ち切り率×recent_formを ①等重みz合成の五分位(カット学習窓固定) ②交互作用項 ③学習窓係数固定→検証窓EV=P̂×オッズ売買(市場のみ対照付き)。z化・カット・係数は全て学習窓のみで決定	学習2014-2021(15.0万)/検証2022-2026(7.6万)	-	-	①Q1 65.4→Q5 92.7%(検証, 4-9.9倍帯)で単調・差27pt ②交互作用 z=+1.34/+0.52で無し(効果は加法的) ③EV>1.0-1.5は検証ROI 101-161%に見えるが除3で46-70%に全滅+市場のみ対照でも同形(104-147%→除3 37-63%)=較正済みモデルのEV裾ノイズ	対照群テストが決定打: 2シグナルEVと市場のみEVが区別不能。picksは0.4%(337/75785)の極端オッズ帯に集中	合成しても壁は破れない(Q5 92.7%が到達点)。効果は加法的なので線形合成で十分、GBM組込時も交互作用探索は不要。p_mkt正規化は指標絞り込み前に行う(絞った後だと合計1が壊れる)バグを修正済み	combo_signal_ev.py / log319
48	recent_formの直近窓バリエーション検定	rf_w=直近w走の相対着順平均-キャリア平均 (w=1..6)。織り込み検定zで比較	2014-2021/2022-2026	窓あたり21万+10万(w=6は19万+9.5万)	-	z両窓: w=1: 5.03/**1.61(検証で死亡)** w=2: 4.32/4.42 **w=3: 4.92/5.04** **w=4: 5.11/4.91** w=5: 4.21/4.24 w=6: 2.54/3.23。w=3-4が高原でピーク、両側で減衰	w=1の検証窓死亡が機構の証明: 前走単体は市場が完全織り込み(v6fix前走着順の知見と整合)、直近3-4走の集計だけが未織り込み。w=2-5の広い高原=鋭いパラメータ依存なし	定義は現行w=3のまま確定(w=4と同格だが変更理由なし)。「市場は前走は見るが直近数走の平均とキャリアの比較はしない」と特定	recent_form_window_scan.py / log320
49	窓・分母アンサンブル平均版の検定(ユーザー提案)	rf_avg=mean(recent_form w=2-5)・ka_avg=mean(勝ち切り率 k=2-7)を単一ベスト(rf3/ka3)と比較。全母集団+共通母集団の2段比較	2014-2021/2022-2026	rf系21万+10万・ka_avg12万+6万	-	rf_avg z=+5.15/+5.22 vs rf3 +4.92/+5.04(同一母集団21万で比較、両窓とも僅かに改善)。ka_avg z=+3.30/+4.40 vs ka3 +5.20/+4.99(劣化)。共通母集団でも ka3 4.13/4.43 > ka_avg 3.45/3.78 で確定	気象のアンサンブル平均と同じ機構: rfは窓ごとに別ノイズを持つ並列観測なので平均が効く。kachikiriは分母がネストした同一比率の変形で、k=3が情報の本体・混ぜると希釈	第7シグナルはrf_avg(w=2-5平均)に定義更新(+0.2σ級の改善)。第6シグナルはka3のまま。効果量は+2-3pt級のまま=売買判定に変化なし	avg_signal_scan.py / log321
50	勝ち切り率の平均範囲総当たり(ユーザー提案の追試)	ka_avg[a..b]を全連続範囲15通り(2<=a<b<=7)で構築し、各範囲の適格母集団上でka3単体と同条件比較	2014-2021/2022-2026	範囲により18万/24万	-	15範囲×両窓=30比較の全てでka3が平均版に勝利(例: 最良の平均k=3-4でも4.90/4.81 vs ka3 5.20/4.99)。範囲をどう選んでも平均は単体に届かず	同一母集団での対照比較なので適格条件の差では説明不可。k=3から遠い成分を混ぜるほど単調に劣化	「範囲が下手」説は棄却。勝ち切り率の分母バリエーションはネスト比率で情報が同一のため、いかなる平均もk=3の希釈にしかならないと確定。第6シグナル=ka3で最終確定	kachi_avg_range_scan.py / log322
